CustomerID,SignupDate,Region,CustomerSegment,ContractType,InternetService,PaymentMethod,TenureMonths,MonthlyCharges,SupportTickets90D,LatePayments12M,PaperlessBilling,StreamingService,TechSupport,SeniorCitizen,Dependents,Partner,ChurnProbability,ChurnFlag,RecommendedAction
100000,2025-01-29,West,Enterprise,Month-to-Month,Fiber,Electronic Check,55,50.86,1,0,0,1,1,0,0,0,0.4466,1,Monitor account / standard nurture
100001,2019-05-13,West,Consumer,Month-to-Month,DSL,Electronic Check,31,79.75,2,1,0,0,1,0,0,0,0.8254,1,Offer contract upgrade incentive
100002,2024-08-25,North,Consumer,One Year,DSL,Electronic Check,66,96.49,2,1,1,1,0,0,1,1,0.5902,1,Offer targeted discount review
100003,2023-08-08,South,Consumer,Month-to-Month,DSL,Credit Card,29,42.4,4,1,0,1,1,0,1,0,0.6911,1,Monitor account / standard nurture
100004,2021-08-09,West,Consumer,Month-to-Month,DSL,Electronic Check,65,129.17,1,0,1,0,0,0,0,1,0.7917,1,Offer contract upgrade incentive
100005,2019-03-06,West,Consumer,Month-to-Month,Fiber,Bank Transfer,15,67.89,2,3,1,1,0,0,0,1,0.9154,1,Offer contract upgrade incentive
100006,2022-04-09,North,Consumer,Month-to-Month,Fiber,Electronic Check,39,97.8,6,1,1,1,0,0,0,0,0.92,1,Offer contract upgrade incentive
100007,2019-02-07,East,SMB,One Year,DSL,Electronic Check,47,108.03,2,1,1,1,0,1,1,1,0.7331,1,Provide free tech support retention offer
100008,2022-02-12,South,Consumer,Month-to-Month,DSL,Electronic Check,51,128.88,0,2,1,0,0,0,1,0,0.8785,1,Offer contract upgrade incentive
100009,2024-06-30,West,SMB,One Year,Fiber,Electronic Check,54,102.16,1,0,1,1,0,1,0,1,0.625,1,Provide free tech support retention offer
100010,2020-08-29,West,Consumer,Month-to-Month,None,Credit Card,39,41.66,0,0,0,0,1,0,0,1,0.2733,0,Monitor account / standard nurture
100011,2020-08-26,South,Consumer,Two Year,Fiber,Mailed Check,27,99.79,1,1,1,1,0,0,0,0,0.6862,0,Provide free tech support retention offer
100012,2023-05-16,East,SMB,Month-to-Month,None,Electronic Check,40,27.41,3,1,0,0,0,0,1,0,0.6138,0,Provide free tech support retention offer
100013,2019-08-04,West,Consumer,Month-to-Month,DSL,Bank Transfer,71,74.85,1,3,0,1,1,0,0,1,0.6024,1,Monitor account / standard nurture
100014,2023-10-25,West,Consumer,Month-to-Month,Fiber,Electronic Check,36,55.07,1,2,0,0,0,0,0,1,0.7924,1,Offer contract upgrade incentive
100015,2020-03-24,East,Consumer,Two Year,Fiber,Credit Card,67,47.53,3,1,1,0,1,0,0,0,0.2772,0,Monitor account / standard nurture
100016,2021-08-12,South,SMB,One Year,None,Electronic Check,22,25.69,2,0,1,1,1,0,0,0,0.3937,1,Monitor account / standard nurture
100017,2022-09-29,South,Enterprise,Two Year,DSL,Mailed Check,14,34.04,2,1,1,0,0,0,0,1,0.3881,0,Monitor account / standard nurture
100018,2023-10-23,North,Enterprise,One Year,None,Electronic Check,70,46.72,1,2,1,1,0,0,0,1,0.3038,0,Monitor account / standard nurture
100019,2021-10-01,East,Consumer,Month-to-Month,Fiber,Electronic Check,68,52.16,1,2,1,1,0,0,1,0,0.6688,1,Apply billing outreach and payment plan
100020,2023-09-29,North,Consumer,Month-to-Month,DSL,Electronic Check,35,58.54,3,1,1,0,0,1,1,1,0.8269,0,Offer contract upgrade incentive
100021,2025-01-29,West,Consumer,One Year,DSL,Bank Transfer,5,74.58,4,2,1,1,0,0,0,1,0.8746,1,Apply billing outreach and payment plan
100022,2021-04-22,North,Consumer,Month-to-Month,DSL,Electronic Check,52,76.91,2,1,1,1,0,0,0,0,0.8054,1,Offer contract upgrade incentive
100023,2022-06-23,North,Consumer,Two Year,Fiber,Bank Transfer,8,67.89,3,0,0,0,0,1,1,0,0.5929,0,Monitor account / standard nurture
100024,2021-03-11,North,Enterprise,Two Year,DSL,Credit Card,5,83.07,0,2,0,1,0,1,1,1,0.4713,1,Monitor account / standard nurture
100025,2020-10-04,South,Consumer,One Year,Fiber,Mailed Check,22,30.46,0,0,1,0,1,0,0,1,0.3109,1,Monitor account / standard nurture
100026,2020-03-12,East,Consumer,Month-to-Month,Fiber,Bank Transfer,28,78.3,1,2,1,1,1,0,0,1,0.8121,1,Offer contract upgrade incentive
100027,2024-04-27,West,SMB,Month-to-Month,Fiber,Mailed Check,47,65.59,2,2,1,1,0,0,0,1,0.8064,1,Offer contract upgrade incentive
100028,2021-06-19,West,Consumer,Month-to-Month,Fiber,Credit Card,6,73.07,2,2,1,1,0,0,1,1,0.8912,1,Offer contract upgrade incentive
100029,2019-10-07,East,Consumer,Month-to-Month,DSL,Credit Card,18,109.93,1,1,1,1,0,0,0,0,0.879,1,Offer contract upgrade incentive
100030,2025-09-02,West,SMB,Month-to-Month,None,Electronic Check,71,45.57,2,2,0,0,1,0,1,1,0.4621,0,Monitor account / standard nurture
100031,2025-10-31,North,Consumer,Month-to-Month,Fiber,Mailed Check,44,74.68,0,0,0,1,0,1,1,0,0.5978,0,Monitor account / standard nurture
100032,2022-08-27,South,Consumer,Month-to-Month,None,Electronic Check,44,51.39,1,1,0,1,0,0,0,1,0.6004,0,Provide free tech support retention offer
100033,2023-09-24,West,Consumer,Month-to-Month,Fiber,Mailed Check,38,49.83,2,2,1,0,1,0,0,0,0.7959,1,Offer contract upgrade incentive
100034,2019-09-12,West,Consumer,One Year,DSL,Electronic Check,18,93.24,1,1,1,1,0,0,0,1,0.7794,1,Provide free tech support retention offer
100035,2019-01-19,South,SMB,One Year,None,Mailed Check,54,119.49,0,0,1,1,0,1,0,1,0.4932,0,Monitor account / standard nurture
100036,2025-01-26,West,Enterprise,Two Year,Fiber,Bank Transfer,51,101.41,2,1,1,0,0,0,0,0,0.5083,1,Monitor account / standard nurture
100037,2019-09-05,West,SMB,Month-to-Month,DSL,Electronic Check,67,22.49,2,2,1,0,1,0,0,1,0.5077,1,Monitor account / standard nurture
100038,2019-08-02,West,Consumer,One Year,DSL,Electronic Check,33,134.76,0,1,1,1,0,0,0,1,0.8021,1,Provide free tech support retention offer
100039,2022-02-11,East,Consumer,One Year,Fiber,Credit Card,45,98.33,1,1,1,1,0,0,0,1,0.613,0,Provide free tech support retention offer
100040,2021-04-17,North,SMB,Month-to-Month,DSL,Bank Transfer,49,59.33,1,0,0,0,0,0,1,1,0.3822,0,Monitor account / standard nurture
100041,2020-12-07,East,Consumer,Month-to-Month,Fiber,Bank Transfer,8,94.58,1,1,1,0,0,0,1,0,0.8804,1,Offer contract upgrade incentive
100042,2024-07-06,West,Consumer,Two Year,DSL,Electronic Check,67,31.68,3,1,1,0,1,0,0,1,0.2566,0,Monitor account / standard nurture
100043,2020-12-11,North,SMB,One Year,Fiber,Mailed Check,48,133.64,1,1,1,0,1,0,1,1,0.6963,0,Offer targeted discount review
100044,2019-05-04,North,Enterprise,Two Year,DSL,Mailed Check,70,106.07,2,0,1,1,0,0,1,1,0.2868,0,Monitor account / standard nurture
100045,2021-12-07,East,SMB,Month-to-Month,None,Bank Transfer,64,25.93,1,3,1,0,0,1,0,0,0.5147,0,Monitor account / standard nurture
100046,2020-07-08,West,Consumer,Two Year,Fiber,Electronic Check,54,94.77,2,1,0,0,1,0,0,0,0.5543,0,Offer targeted discount review
100047,2024-05-23,North,SMB,Two Year,Fiber,Electronic Check,68,91.53,1,2,1,1,1,0,0,1,0.4679,1,Monitor account / standard nurture
100048,2025-06-23,South,SMB,One Year,DSL,Mailed Check,16,90.48,5,1,0,1,1,0,0,1,0.8425,1,Offer targeted discount review
100049,2023-06-04,South,Consumer,Two Year,DSL,Electronic Check,24,116.32,0,0,0,0,1,0,1,0,0.4964,1,Monitor account / standard nurture
100050,2021-05-25,East,Consumer,One Year,Fiber,Electronic Check,38,68.39,1,0,1,1,0,0,0,0,0.5878,0,Monitor account / standard nurture
100051,2025-10-12,East,Consumer,Month-to-Month,Fiber,Bank Transfer,18,108.64,1,1,1,1,0,0,0,1,0.8899,1,Offer contract upgrade incentive
100052,2024-09-08,East,Consumer,Month-to-Month,None,Mailed Check,17,99.14,3,1,1,1,1,0,1,1,0.8809,1,Offer contract upgrade incentive
100053,2021-02-07,South,SMB,Two Year,DSL,Bank Transfer,21,104.13,0,1,0,1,1,0,0,1,0.4212,1,Monitor account / standard nurture
100054,2021-12-30,South,SMB,Month-to-Month,DSL,Electronic Check,65,47.39,3,1,1,1,0,0,1,1,0.6185,1,Provide free tech support retention offer
100055,2024-07-02,East,SMB,Month-to-Month,Fiber,Electronic Check,65,47.01,1,2,0,1,0,0,0,0,0.6402,1,Provide free tech support retention offer
100056,2021-07-19,North,SMB,Month-to-Month,Fiber,Electronic Check,71,131.21,0,1,0,0,0,0,1,1,0.7388,1,Provide free tech support retention offer
100057,2022-12-02,South,Consumer,One Year,DSL,Mailed Check,21,51.3,0,1,1,1,1,0,1,1,0.3921,0,Monitor account / standard nurture
100058,2021-10-14,West,Enterprise,Two Year,None,Electronic Check,17,38.54,1,1,0,1,0,0,1,1,0.2669,0,Monitor account / standard nurture
