TransactionID,Date,CustomerID,ProductID,RegionID,Units,UnitCost,Category,UnitPrice,DiscountPct,Revenue,COGS,GrossProfit
1,2025-11-19,1295,101,3,5,116.54,Add-on,156.88,0.014,773.42,582.7,190.72
2,2024-01-03,1201,102,3,3,100.73,Subscription,219.05,0.0,657.15,302.19,354.96
3,2025-03-04,1273,111,1,5,21.04,Services,30.23,0.107,134.98,105.2,29.78
4,2024-05-21,1174,116,2,1,27.96,Add-on,42.72,0.102,38.36,27.96,10.4
5,2025-01-10,1243,103,5,5,29.42,Services,50.12,0.079,230.8,147.1,83.7
6,2025-10-31,1268,113,1,1,47.13,Services,93.85,0.035,90.57,47.13,43.44
7,2024-11-19,1073,108,1,5,54.67,Services,89.08,0.125,389.72,273.35,116.37
8,2024-05-25,1095,107,5,4,65.35,Subscription,91.68,0.081,337.02,261.4,75.62
9,2024-10-19,1172,100,4,1,7.37,Services,13.78,0.071,12.8,7.37,5.43
10,2025-10-26,1154,112,1,3,38.6,Services,75.92,0.075,210.68,115.8,94.88
11,2025-03-07,1182,102,5,2,100.73,Subscription,201.1,0.065,376.06,201.46,174.6
12,2025-12-05,1288,113,3,2,47.13,Services,80.77,0.027,157.18,94.26,62.92
13,2025-08-07,1257,118,3,5,73.13,Add-on,136.93,0.0,684.65,365.65,319.0
14,2025-02-02,1074,105,4,6,26.09,Add-on,39.45,0.016,232.91,156.54,76.37
15,2024-12-09,1173,103,2,3,29.42,Services,38.32,0.0,114.96,88.26,26.7
16,2024-05-19,1230,119,4,4,10.34,Services,13.54,0.1,48.74,41.36,7.38
17,2024-07-05,1246,100,2,2,7.37,Services,8.81,0.0,17.62,14.74,2.88
18,2024-03-01,1160,109,3,5,38.49,Hardware,53.72,0.046,256.24,192.45,63.79
19,2025-01-14,1185,112,1,2,38.6,Services,71.12,0.055,134.42,77.2,57.22
20,2025-12-10,1142,111,2,1,21.04,Services,44.27,0.073,41.04,21.04,20.0
21,2025-03-15,1281,110,3,3,75.36,Services,149.41,0.087,409.23,226.08,183.15
22,2024-11-14,1127,103,3,2,29.42,Services,57.51,0.083,105.47,58.84,46.63
23,2024-10-28,1165,116,2,2,27.96,Add-on,58.85,0.0,117.7,55.92,61.78
24,2024-12-09,1026,114,3,4,57.45,Add-on,79.82,0.018,313.53,229.8,83.73
25,2024-01-11,1245,102,1,2,100.73,Subscription,122.08,0.054,230.98,201.46,29.52
26,2024-03-02,1134,109,2,2,38.49,Hardware,61.24,0.08,112.68,76.98,35.7
27,2024-08-13,1201,113,3,2,47.13,Services,72.84,0.175,120.19,94.26,25.93
28,2024-06-01,1020,118,2,2,73.13,Add-on,129.97,0.042,249.02,146.26,102.76
29,2025-12-11,1078,103,5,5,29.42,Services,48.75,0.0,243.75,147.1,96.65
30,2025-07-17,1157,113,1,3,47.13,Services,91.23,0.117,241.67,141.39,100.28
31,2026-02-10,1093,105,5,2,26.09,Add-on,51.82,0.0,103.64,52.18,51.46
32,2025-07-24,1007,111,3,3,21.04,Services,36.94,0.046,105.72,63.12,42.6
33,2025-08-06,1258,101,5,4,116.54,Add-on,159.45,0.045,609.1,466.16,142.94
34,2025-10-21,1054,116,2,2,27.96,Add-on,57.94,0.051,109.97,55.92,54.05
35,2025-07-28,1035,100,2,2,7.37,Services,10.52,0.0,21.04,14.74,6.3
36,2024-11-05,1005,116,2,2,27.96,Add-on,54.62,0.012,107.93,55.92,52.01
37,2024-08-30,1041,104,1,3,25.91,Services,43.62,0.036,126.15,77.73,48.42
38,2025-05-07,1049,115,2,4,95.3,Subscription,165.3,0.042,633.43,381.2,252.23
39,2024-12-31,1111,113,2,1,47.13,Services,62.17,0.046,59.31,47.13,12.18
40,2024-11-25,1145,119,1,5,10.34,Services,18.09,0.021,88.55,51.7,36.85
41,2024-04-16,1229,109,2,2,38.49,Hardware,78.0,0.154,131.98,76.98,55.0
42,2024-08-13,1210,102,4,4,100.73,Subscription,162.07,0.056,611.98,402.92,209.06
43,2024-08-05,1029,102,4,2,100.73,Subscription,150.06,0.035,289.62,201.46,88.16
44,2026-01-22,1294,117,5,3,64.14,Add-on,91.88,0.071,256.07,192.42,63.65
45,2025-05-20,1115,117,3,3,64.14,Add-on,105.56,0.045,302.43,192.42,110.01
46,2024-09-15,1225,103,2,2,29.42,Services,41.45,0.128,72.29,58.84,13.45
47,2026-02-12,1058,106,3,1,39.99,Subscription,64.41,0.019,63.19,39.99,23.2
48,2025-05-31,1075,100,4,4,7.37,Services,12.32,0.037,47.46,29.48,17.98
49,2026-02-11,1215,115,5,3,95.3,Subscription,126.68,0.036,366.36,285.9,80.46
50,2024-02-23,1131,116,4,2,27.96,Add-on,57.27,0.0,114.54,55.92,58.62
51,2024-02-16,1080,107,5,3,65.35,Subscription,124.6,0.064,349.88,196.05,153.83
52,2025-12-27,1066,105,1,4,26.09,Add-on,52.4,0.082,192.41,104.36,88.05
53,2025-11-19,1229,101,2,4,116.54,Add-on,239.64,0.0,958.56,466.16,492.4
54,2025-06-04,1276,109,1,3,38.49,Hardware,64.86,0.103,174.54,115.47,59.07
55,2024-04-08,1071,116,1,3,27.96,Add-on,58.11,0.127,152.19,83.88,68.31
56,2024-01-20,1208,118,4,4,73.13,Add-on,129.81,0.143,444.99,292.52,152.47
57,2026-01-22,1271,103,5,3,29.42,Services,63.49,0.0,190.47,88.26,102.21
58,2025-07-26,1143,112,3,4,38.6,Services,61.8,0.083,226.68,154.4,72.28
59,2025-05-04,1250,118,1,3,73.13,Add-on,143.84,0.085,394.84,219.39,175.45
60,2025-02-22,1283,115,2,1,95.3,Subscription,144.64,0.0,144.64,95.3,49.34
61,2025-11-20,1178,112,5,2,38.6,Services,49.57,0.035,95.67,77.2,18.47
62,2024-03-02,1079,104,2,3,25.91,Services,53.28,0.026,155.68,77.73,77.95
63,2024-05-24,1056,111,2,3,21.04,Services,39.63,0.029,115.44,63.12,52.32
64,2024-08-03,1173,106,2,5,39.99,Subscription,70.45,0.098,317.73,199.95,117.78
65,2024-01-03,1237,108,3,2,54.67,Services,117.45,0.132,203.89,109.34,94.55
66,2024-06-08,1165,104,2,2,25.91,Services,51.25,0.141,88.05,51.82,36.23
67,2026-01-08,1083,103,3,3,29.42,Services,36.06,0.063,101.36,88.26,13.1
68,2026-02-19,1047,109,5,1,38.49,Hardware,46.0,0.091,41.81,38.49,3.32
69,2024-04-29,1126,115,1,4,95.3,Subscription,167.35,0.0,669.4,381.2,288.2
70,2024-03-29,1168,110,3,6,75.36,Services,122.76,0.037,709.31,452.16,257.15
71,2024-11-24,1066,108,1,1,54.67,Services,65.81,0.027,64.03,54.67,9.36
72,2025-08-02,1193,104,3,1,25.91,Services,32.46,0.015,31.97,25.91,6.06
73,2024-12-22,1154,110,1,3,75.36,Services,113.7,0.11,303.58,226.08,77.5
74,2025-09-01,1159,108,2,3,54.67,Services,87.41,0.022,256.46,164.01,92.45
75,2024-09-23,1183,116,4,2,27.96,Add-on,53.35,0.0,106.7,55.92,50.78
76,2025-09-08,1265,110,1,6,75.36,Services,147.41,0.016,446.53,452.16,-5.63
77,2024-11-18,1167,105,4,3,26.09,Add-on,44.61,0.0,133.83,78.27,55.56
78,2025-09-26,1144,115,3,4,95.3,Subscription,124.25,0.032,481.1,381.2,99.9
79,2025-06-24,1185,118,1,4,73.13,Add-on,111.4,0.12,392.13,292.52,99.61
80,2025-10-10,1261,113,3,2,47.13,Services,94.16,0.15,160.07,94.26,65.81
81,2024-07-13,1273,102,1,5,100.73,Subscription,212.42,0.046,1013.24,503.65,509.59
82,2026-01-07,1222,109,2,3,38.49,Hardware,56.56,0.0,169.68,115.47,54.21
83,2024-11-27,1041,103,1,3,29.42,Services,35.56,0.06,100.28,88.26,12.02
84,2024-06-18,1003,101,5,4,116.54,Add-on,167.86,0.053,635.85,466.16,169.69
85,2025-06-04,1275,112,1,5,38.6,Services,77.67,0.051,368.54,193.0,175.54
86,2025-04-07,1283,110,2,5,75.36,Services,118.16,0.068,550.63,376.8,173.83
87,2024-02-09,1192,111,4,4,21.04,Services,27.14,0.062,101.83,84.16,17.67
88,2025-06-20,1103,100,2,3,7.37,Services,13.79,0.096,37.4,22.11,15.29
89,2024-09-17,1246,108,2,3,54.67,Services,110.62,0.036,319.91,164.01,155.9
90,2025-01-29,1299,111,2,2,21.04,Services,38.17,0.1,68.71,42.08,26.63
91,2024-08-13,1022,106,1,2,39.99,Subscription,78.76,0.0,157.52,79.98,77.54
92,2024-05-03,1012,116,5,2,27.96,Add-on,56.98,0.102,102.34,55.92,46.42
93,2024-02-07,1143,109,3,2,38.49,Hardware,55.35,0.044,105.83,76.98,28.85
94,2024-11-23,1217,105,4,3,26.09,Add-on,48.95,0.096,132.75,78.27,54.48
95,2024-09-07,1182,106,5,3,39.99,Subscription,80.35,0.005,239.84,119.97,119.87
96,2024-06-24,1241,118,4,1,73.13,Add-on,85.05,0.087,77.65,73.13,4.52
97,2025-08-24,1192,113,4,2,47.13,Services,94.45,0.093,171.33,94.26,77.07
98,2025-03-29,1271,110,5,2,75.36,Services,142.53,0.0,285.06,150.72,134.34
99,2024-02-06,1164,101,4,3,116.54,Add-on,201.79,0.108,539.99,349.62,190.37
100,2024-11-11,1179,100,1,2,7.37,Services,8.51,0.055,16.08,14.74,1.34
101,2025-11-18,1116,109,1,3,38.49,Hardware,47.96,0.087,131.36,115.47,15.89
102,2025-08-15,1265,111,1,1,21.04,Services,32.02,0.003,31.92,21.04,10.88
103,2024-04-23,1037,108,3,6,54.67,Services,73.31,0.0,439.86,328.02,111.84
104,2024-02-09,1043,110,5,2,75.36,Services,100.76,0.016,198.3,150.72,47.58
105,2024-10-27,1073,100,1,2,7.37,Services,10.82,0.076,20.0,14.74,5.26
106,2024-08-11,1225,119,2,6,10.34,Services,11.98,0.03,69.72,62.04,7.68
107,2024-11-13,1012,109,5,2,38.49,Hardware,48.91,0.119,86.18,76.98,9.2
108,2024-12-14,1011,118,1,2,73.13,Add-on,116.73,0.047,222.49,146.26,76.23
109,2024-04-24,1049,110,2,7,75.36,Services,139.62,0.043,935.31,527.52,407.79
110,2025-11-28,1248,102,3,3,100.73,Subscription,165.13,0.134,429.01,302.19,126.82
111,2024-11-18,1118,115,1,2,95.3,Subscription,207.72,0.1,373.9,190.6,183.3
112,2025-07-21,1056,109,2,4,38.49,Hardware,45.56,0.027,177.32,153.96,23.36
113,2024-02-09,1181,101,5,2,116.54,Add-on,218.39,0.051,414.5,233.08,181.42
114,2024-02-09,1263,118,2,1,73.13,Add-on,133.73,0.018,131.32,73.13,58.19
115,2026-01-18,1105,103,5,3,29.42,Services,54.95,0.032,159.57,88.26,71.31
116,2024-10-15,1190,115,2,1,95.3,Subscription,151.29,0.084,138.58,95.3,43.28
117,2024-09-18,1136,105,3,4,26.09,Add-on,40.42,0.135,139.85,104.36,35.49
