TicketID,Date,CustomerID,Priority,Category,ResolutionHours
1,2025-02-23,1002,Low,How-to,4.8
2,2025-04-06,1068,Low,Account,17.7
3,2025-01-06,1263,Low,Outage,5.5
4,2024-12-03,1053,Low,How-to,11.3
5,2025-02-18,1263,Low,Billing,15.2
6,2025-06-25,1205,Low,How-to,4.0
7,2024-02-20,1153,Medium,Bug,9.3
8,2024-02-17,1068,Low,Billing,16.9
9,2025-02-10,1098,Medium,Billing,4.5
10,2025-11-23,1110,Medium,How-to,16.8
11,2025-09-08,1047,Low,Bug,6.5
12,2024-02-17,1057,Medium,Billing,8.6
13,2024-01-31,1093,Low,How-to,15.8
14,2025-09-22,1253,Low,Bug,12.8
15,2025-12-28,1138,Medium,Outage,6.8
16,2025-11-24,1285,Medium,How-to,6.5
17,2025-01-01,1067,Low,Account,5.6
18,2024-08-06,1085,Medium,Account,2.6
19,2024-06-26,1188,High,How-to,15.1
20,2025-05-21,1069,Low,Bug,13.9
21,2025-05-31,1241,Medium,Outage,9.5
22,2024-01-30,1188,Medium,Billing,4.6
23,2025-02-08,1223,Medium,Bug,3.2
24,2025-10-01,1098,Critical,Bug,5.9
25,2024-10-11,1144,Critical,Bug,23.7
26,2025-06-20,1139,Medium,Outage,3.8
27,2025-08-27,1064,Low,How-to,1.4
28,2024-07-14,1142,Medium,How-to,21.6
29,2026-02-01,1008,High,Outage,4.8
30,2024-11-02,1055,Medium,Billing,2.9
31,2024-06-23,1194,Medium,Outage,5.5
32,2024-04-01,1290,High,Account,4.9
33,2024-04-22,1251,Low,How-to,32.1
34,2024-06-06,1274,Low,Account,15.2
35,2024-06-29,1169,Low,How-to,10.8
36,2024-11-13,1168,Medium,Bug,4.7
37,2024-11-10,1073,Medium,Bug,21.1
38,2026-01-04,1294,Low,Bug,11.3
39,2025-02-01,1094,Critical,Billing,25.3
40,2024-09-15,1261,Low,How-to,6.1
41,2025-11-15,1001,Low,Bug,4.4
42,2026-02-28,1145,Low,Bug,16.2
43,2024-12-25,1173,Low,How-to,9.0
44,2024-09-27,1139,Medium,Billing,46.6
45,2025-09-01,1141,Low,Bug,4.7
46,2025-07-30,1245,Low,Billing,19.5
47,2024-02-05,1072,Low,Outage,34.8
48,2024-11-15,1267,Medium,Billing,9.7
49,2025-09-15,1001,High,How-to,24.3
50,2024-03-29,1048,Low,Bug,19.9
51,2025-07-01,1287,Low,Billing,9.1
52,2025-05-30,1084,Medium,Outage,9.9
53,2024-07-28,1008,Low,Billing,5.3
54,2024-11-17,1135,Medium,How-to,8.0
55,2024-02-08,1121,High,How-to,4.6
56,2025-01-30,1072,Medium,Billing,25.1
57,2024-05-01,1138,Medium,Billing,10.3
58,2025-09-11,1285,Medium,How-to,8.5
59,2024-06-23,1020,Medium,Account,3.4
60,2025-06-02,1298,Critical,Billing,23.9
61,2024-03-20,1169,Low,Billing,40.4
62,2026-01-14,1173,Low,Outage,5.2
63,2024-10-08,1168,Low,Outage,35.7
64,2024-08-04,1270,High,Bug,15.1
65,2025-10-21,1121,Low,How-to,18.0
66,2025-08-05,1036,Low,Outage,13.9
67,2024-06-22,1286,Critical,Billing,21.6
68,2025-09-15,1171,Medium,Bug,19.3
69,2025-06-25,1144,Low,Outage,3.2
70,2024-02-05,1198,Medium,Bug,17.4
71,2025-09-17,1127,Low,Outage,5.8
72,2025-09-18,1254,Low,Bug,17.5
73,2025-01-15,1229,Low,How-to,3.0
74,2024-07-30,1284,Medium,How-to,36.4
75,2024-01-23,1110,High,Billing,10.0
76,2024-03-13,1269,Medium,Outage,20.4
77,2025-06-10,1029,Medium,Billing,2.1
78,2024-02-13,1261,Medium,Account,5.2
79,2024-08-02,1046,Medium,How-to,15.0
80,2025-05-22,1270,Low,How-to,24.1
81,2024-09-05,1125,Medium,Account,22.3
82,2026-02-12,1000,Low,Bug,19.0
83,2025-07-30,1069,Critical,How-to,3.7
84,2024-11-20,1146,Low,Outage,25.2
85,2025-08-12,1132,Medium,Billing,5.6
86,2024-02-05,1032,High,Bug,7.4
87,2024-02-11,1239,Medium,Account,3.2
88,2024-04-19,1175,Low,Outage,7.2
89,2025-06-18,1014,Low,Billing,3.1
90,2025-05-15,1244,Medium,Bug,16.4
91,2024-02-19,1163,Critical,How-to,8.1
92,2025-02-22,1079,Medium,How-to,22.8
93,2024-09-15,1153,Low,How-to,12.8
94,2024-10-03,1063,Medium,Account,3.1
95,2026-02-22,1159,Low,Outage,6.6
96,2025-05-16,1066,Medium,Billing,34.3
97,2025-09-10,1168,High,Billing,22.9
98,2025-10-28,1152,Low,How-to,12.1
99,2024-11-27,1275,Critical,Billing,22.2
100,2025-08-08,1067,Medium,Outage,32.7
101,2025-08-18,1257,Low,Outage,13.5
102,2024-02-07,1185,Low,Billing,19.6
103,2024-02-03,1266,Low,How-to,13.4
104,2025-11-27,1166,Medium,Account,38.1
105,2024-12-15,1295,Medium,Bug,27.0
106,2025-02-24,1242,Low,Account,24.4
107,2024-08-03,1195,High,How-to,48.5
108,2025-10-05,1276,Low,How-to,11.4
109,2025-10-30,1073,Low,Account,11.5
110,2024-12-31,1125,Low,Billing,5.3
111,2026-02-25,1077,High,Outage,33.8
112,2025-03-31,1041,Medium,Billing,12.1
113,2025-06-21,1248,Medium,Bug,0.9
114,2024-03-29,1013,Low,How-to,5.9
115,2025-11-06,1116,Medium,Billing,10.7
116,2024-10-20,1255,Low,Bug,26.0
117,2025-11-20,1274,Low,How-to,19.5
118,2026-01-12,1253,Low,Account,8.9
119,2025-05-01,1156,High,How-to,10.4
120,2025-02-18,1271,Medium,Billing,19.3
121,2025-12-04,1091,Low,Account,22.1
122,2025-11-11,1127,Medium,Billing,12.2
123,2025-12-23,1216,High,Bug,12.4
124,2026-02-14,1070,Low,Bug,9.6
125,2025-12-28,1009,Low,Bug,13.2
126,2024-11-26,1292,Medium,Bug,10.2
127,2024-11-20,1137,Low,Outage,3.8
128,2025-09-11,1029,Low,How-to,10.7
129,2025-08-06,1239,Medium,Account,14.9
130,2024-01-02,1187,Medium,Account,15.0
131,2025-08-22,1233,Low,Outage,26.7
132,2026-01-27,1051,Medium,Bug,10.7
133,2024-02-26,1046,High,Billing,34.4
134,2025-07-12,1123,Low,Billing,40.4
135,2025-07-04,1171,Low,How-to,13.9
136,2024-11-09,1030,Low,Account,9.1
137,2026-01-24,1092,Critical,Account,10.9
138,2025-10-01,1012,Low,Account,16.6
139,2026-02-13,1017,Critical,Account,4.2
140,2025-03-16,1137,Medium,How-to,21.4
141,2024-04-03,1188,Medium,Bug,11.5
142,2025-12-30,1267,Medium,How-to,1.9
143,2024-02-08,1202,Critical,How-to,9.6
144,2025-05-28,1158,Low,Billing,9.4
145,2025-06-27,1239,Low,Bug,6.7
146,2025-02-22,1243,Critical,Bug,6.1
147,2025-10-23,1164,Medium,How-to,25.9
148,2025-11-16,1097,Medium,How-to,8.6
149,2025-10-12,1057,Medium,How-to,6.7
150,2024-03-25,1075,High,How-to,6.2
151,2024-08-08,1247,High,Outage,12.2
152,2025-09-29,1001,Low,How-to,11.6
153,2024-11-27,1290,Low,How-to,18.9
154,2025-06-26,1259,High,How-to,6.6
