EmployeeKey,AttritionProbability,RiskBand,RecommendedAction
100001,0.2389,Low,Career path / promotion review
100002,0.0904,Low,Career path / promotion review
100003,0.0617,Low,Career path / promotion review
100004,0.1252,Low,Career path / promotion review
100005,0.4308,Medium,Manager check-in + workload review
100006,0.14,Low,Career path / promotion review
100007,0.0907,Low,Career path / promotion review
100008,0.2835,Low,Flexible or hybrid work option
100009,0.1114,Low,Retention conversation / stay interview
100010,0.132,Low,Flexible or hybrid work option
100011,0.0788,Low,Retention conversation / stay interview
100012,0.0982,Low,Career path / promotion review
100013,0.3134,Low,Flexible or hybrid work option
100014,0.1661,Low,Flexible or hybrid work option
100015,0.2451,Low,Flexible or hybrid work option
100016,0.0657,Low,Flexible or hybrid work option
100017,0.1525,Low,Retention conversation / stay interview
100018,0.3654,Low,Flexible or hybrid work option
100019,0.1883,Low,Flexible or hybrid work option
100020,0.152,Low,Flexible or hybrid work option
100021,0.0951,Low,Retention conversation / stay interview
100022,0.2278,Low,Career path / promotion review
100023,0.27,Low,Manager check-in + workload review
100024,0.3933,Low,Manager check-in + workload review
100025,0.1117,Low,Flexible or hybrid work option
100026,0.2881,Low,Career path / promotion review
100027,0.1325,Low,Career path / promotion review
100028,0.4598,Medium,Career path / promotion review
100029,0.2388,Low,Flexible or hybrid work option
100030,0.2153,Low,Career path / promotion review
100031,0.1923,Low,Career path / promotion review
100032,0.1201,Low,Career path / promotion review
100033,0.1802,Low,Career path / promotion review
100034,0.1241,Low,Career path / promotion review
100035,0.052,Low,Career path / promotion review
100036,0.0757,Low,Flexible or hybrid work option
100037,0.1999,Low,Retention conversation / stay interview
100038,0.2939,Low,Career path / promotion review
100039,0.5363,Medium,Manager check-in + workload review
100040,0.2298,Low,Career path / promotion review
100041,0.133,Low,Flexible or hybrid work option
100042,0.1825,Low,Flexible or hybrid work option
100043,0.26,Low,Career path / promotion review
100044,0.3274,Low,Manager check-in + workload review
100045,0.251,Low,Flexible or hybrid work option
100046,0.1568,Low,Career path / promotion review
100047,0.2828,Low,Flexible or hybrid work option
100048,0.2373,Low,Manager check-in + workload review
100049,0.0863,Low,Career path / promotion review
100050,0.0935,Low,Career path / promotion review
100051,0.1203,Low,Career path / promotion review
100052,0.1942,Low,Retention conversation / stay interview
100053,0.1668,Low,Flexible or hybrid work option
100054,0.4284,Medium,Manager check-in + workload review
100055,0.0494,Low,Retention conversation / stay interview
100056,0.1532,Low,Career path / promotion review
100057,0.0697,Low,Flexible or hybrid work option
100058,0.0796,Low,Flexible or hybrid work option
100059,0.1359,Low,Flexible or hybrid work option
100060,0.2412,Low,Career path / promotion review
100061,0.0566,Low,Retention conversation / stay interview
100062,0.0769,Low,Career path / promotion review
100063,0.2322,Low,Compensation benchmarking review
100064,0.2427,Low,Compensation benchmarking review
100065,0.0932,Low,Retention conversation / stay interview
100066,0.1282,Low,Flexible or hybrid work option
100067,0.3072,Low,Career path / promotion review
100068,0.0942,Low,Retention conversation / stay interview
100069,0.2609,Low,Career path / promotion review
100070,0.0982,Low,Retention conversation / stay interview
100071,0.1193,Low,Career path / promotion review
100072,0.3701,Low,Flexible or hybrid work option
100073,0.1257,Low,Career path / promotion review
100074,0.1495,Low,Career path / promotion review
100075,0.217,Low,Career path / promotion review
100076,0.237,Low,Flexible or hybrid work option
100077,0.2229,Low,Career path / promotion review
100078,0.1471,Low,Flexible or hybrid work option
100079,0.0454,Low,Retention conversation / stay interview
100080,0.1843,Low,Career path / promotion review
100081,0.4358,Medium,Career path / promotion review
100082,0.2055,Low,Flexible or hybrid work option
100083,0.0991,Low,Career path / promotion review
100084,0.3515,Low,Flexible or hybrid work option
100085,0.139,Low,Career path / promotion review
100086,0.0867,Low,Career path / promotion review
100087,0.2192,Low,Flexible or hybrid work option
100088,0.1945,Low,Career path / promotion review
100089,0.5928,Medium,Manager check-in + workload review
100090,0.134,Low,Retention conversation / stay interview
100091,0.0738,Low,Career path / promotion review
100092,0.2981,Low,Flexible or hybrid work option
100093,0.2546,Low,Career path / promotion review
100094,0.2474,Low,Retention conversation / stay interview
100095,0.2417,Low,Career path / promotion review
100096,0.2855,Low,Career path / promotion review
100097,0.1983,Low,Career path / promotion review
100098,0.2806,Low,Flexible or hybrid work option
100099,0.0546,Low,Retention conversation / stay interview
100100,0.1383,Low,Career path / promotion review
100101,0.1493,Low,Career path / promotion review
100102,0.408,Medium,Flexible or hybrid work option
100103,0.3099,Low,Career path / promotion review
100104,0.363,Low,Manager check-in + workload review
100105,0.1343,Low,Flexible or hybrid work option
100106,0.1276,Low,Flexible or hybrid work option
100107,0.1444,Low,Flexible or hybrid work option
100108,0.3353,Low,Career path / promotion review
100109,0.1136,Low,Retention conversation / stay interview
100110,0.0849,Low,Career path / promotion review
100111,0.4545,Medium,Manager check-in + workload review
100112,0.3114,Low,Career path / promotion review
100113,0.0851,Low,Flexible or hybrid work option
100114,0.0551,Low,Retention conversation / stay interview
100115,0.0365,Low,Retention conversation / stay interview
100116,0.141,Low,Flexible or hybrid work option
100117,0.0681,Low,Retention conversation / stay interview
100118,0.0627,Low,Flexible or hybrid work option
100119,0.1132,Low,Flexible or hybrid work option
100120,0.1049,Low,Flexible or hybrid work option
100121,0.1338,Low,Flexible or hybrid work option
100122,0.1607,Low,Retention conversation / stay interview
100123,0.2692,Low,Career path / promotion review
100124,0.1654,Low,Retention conversation / stay interview
100125,0.0709,Low,Retention conversation / stay interview
100126,0.2666,Low,Career path / promotion review
100127,0.1565,Low,Retention conversation / stay interview
100128,0.4878,Medium,Manager check-in + workload review
100129,0.3519,Low,Career path / promotion review
100130,0.14,Low,Flexible or hybrid work option
100131,0.2873,Low,Flexible or hybrid work option
100132,0.1544,Low,Flexible or hybrid work option
100133,0.2854,Low,Career path / promotion review
100134,0.2726,Low,Career path / promotion review
100135,0.1228,Low,Career path / promotion review
100136,0.5606,Medium,Manager check-in + workload review
100137,0.3187,Low,Manager check-in + workload review
100138,0.3058,Low,Flexible or hybrid work option
100139,0.03,Low,Retention conversation / stay interview
100140,0.0968,Low,Retention conversation / stay interview
100141,0.1383,Low,Career path / promotion review
100142,0.2029,Low,Career path / promotion review
100143,0.0382,Low,Retention conversation / stay interview
100144,0.1459,Low,Compensation benchmarking review
100145,0.1835,Low,Retention conversation / stay interview
100146,0.2935,Low,Manager check-in + workload review
100147,0.2125,Low,Career path / promotion review
100148,0.1022,Low,Retention conversation / stay interview
100149,0.5123,Medium,Manager check-in + workload review
100150,0.1407,Low,Career path / promotion review
100151,0.1433,Low,Flexible or hybrid work option
100152,0.3008,Low,Career path / promotion review
100153,0.2371,Low,Career path / promotion review
100154,0.0448,Low,Career path / promotion review
100155,0.1036,Low,Flexible or hybrid work option
100156,0.1823,Low,Retention conversation / stay interview
100157,0.4024,Medium,Manager check-in + workload review
100158,0.0952,Low,Career path / promotion review
100159,0.4082,Medium,Manager check-in + workload review
100160,0.2625,Low,Career path / promotion review
100161,0.1698,Low,Flexible or hybrid work option
100162,0.3162,Low,Career path / promotion review
100163,0.1834,Low,Flexible or hybrid work option
100164,0.1405,Low,Compensation benchmarking review
100165,0.0737,Low,Career path / promotion review
100166,0.1606,Low,Retention conversation / stay interview
100167,0.08,Low,Career path / promotion review
100168,0.1841,Low,Retention conversation / stay interview
100169,0.4353,Medium,Career path / promotion review
100170,0.1558,Low,Career path / promotion review
100171,0.1101,Low,Compensation benchmarking review
100172,0.048,Low,Retention conversation / stay interview
100173,0.224,Low,Flexible or hybrid work option
100174,0.3444,Low,Flexible or hybrid work option
100175,0.0889,Low,Retention conversation / stay interview
100176,0.1676,Low,Retention conversation / stay interview
100177,0.2921,Low,Manager check-in + workload review
100178,0.2315,Low,Flexible or hybrid work option
100179,0.0997,Low,Career path / promotion review
100180,0.1933,Low,Career path / promotion review
100181,0.1172,Low,Retention conversation / stay interview
100182,0.1622,Low,Career path / promotion review
100183,0.2825,Low,Career path / promotion review
100184,0.1644,Low,Flexible or hybrid work option
100185,0.2024,Low,Manager check-in + workload review
100186,0.2585,Low,Manager check-in + workload review
100187,0.3124,Low,Career path / promotion review
100188,0.1594,Low,Flexible or hybrid work option
100189,0.372,Low,Career path / promotion review
100190,0.2674,Low,Career path / promotion review
100191,0.1756,Low,Career path / promotion review
100192,0.1988,Low,Career path / promotion review
100193,0.2147,Low,Flexible or hybrid work option
100194,0.4236,Medium,Manager check-in + workload review
100195,0.2218,Low,Flexible or hybrid work option
100196,0.3441,Low,Career path / promotion review
100197,0.3893,Low,Manager check-in + workload review
100198,0.3662,Low,Career path / promotion review
100199,0.3257,Low,Manager check-in + workload review
100200,0.3645,Low,Manager check-in + workload review
100201,0.105,Low,Career path / promotion review
100202,0.2497,Low,Career path / promotion review
100203,0.0904,Low,Retention conversation / stay interview
100204,0.4383,Medium,Manager check-in + workload review
100205,0.2658,Low,Compensation benchmarking review
100206,0.124,Low,Career path / promotion review
100207,0.3202,Low,Manager check-in + workload review
100208,0.1325,Low,Career path / promotion review
100209,0.5714,Medium,Manager check-in + workload review
100210,0.114,Low,Retention conversation / stay interview
100211,0.1717,Low,Retention conversation / stay interview
100212,0.1272,Low,Flexible or hybrid work option
100213,0.0732,Low,Retention conversation / stay interview
100214,0.1703,Low,Career path / promotion review
100215,0.037,Low,Compensation benchmarking review
