EmployeeKey,Age,AttritionFlag,CommuteMiles,Department,Gender,JobRole,JobSatisfaction,MonthlySalary,OvertimeFlag,PerformanceRating,TenureYears,TrainingHoursMonthly,YearsSincePromotion,HireDate,TerminationDate,SnapshotDate
100001,35,0,21,Operations,Male,Operations Analyst,2,4962.74,0,5,10,3,7,2016-06-22,,2026-09-01
100002,44,0,2,HR,Female,Recruiter,4,5272.47,0,5,11,11,8,2014-11-12,,2026-09-01
100003,64,0,3,Sales,Female,Sales Representative,5,10065.26,0,2,19,3,13,2006-10-17,,2026-09-01
100004,22,0,7,Sales,Male,Account Executive,4,8795.5,0,1,19,3,17,2007-06-02,,2026-09-01
100005,62,1,29,Customer Support,Male,Support Lead,2,11959.0,1,4,3,13,2,2022-10-27,2026-01-29,2026-09-01
100006,60,0,18,Engineering,Female,Data Analyst,5,9830.29,1,4,20,12,8,2006-02-06,,2026-09-01
100007,27,0,1,Engineering,Female,Software Engineer,4,6516.42,0,3,8,16,7,2017-09-23,,2026-09-01
100008,62,0,28,Finance,Female,Financial Analyst,1,10243.27,0,5,6,2,3,2020-07-23,,2026-09-01
100009,55,0,1,Finance,Female,Financial Analyst,5,9542.43,1,3,4,8,1,2022-04-24,,2026-09-01
100010,52,0,32,Finance,Female,Finance Manager,4,13455.5,0,5,6,14,2,2020-01-05,,2026-09-01
100011,42,0,6,Finance,Male,Finance Manager,4,12281.49,0,3,1,22,1,2025-03-16,,2026-09-01
100012,47,0,3,Engineering,Female,Software Engineer,3,7916.74,0,3,19,9,11,2007-01-12,,2026-09-01
100013,32,0,37,Customer Support,Female,Support Specialist,1,14474.47,0,2,6,1,3,2020-05-12,,2026-09-01
100014,39,0,26,Engineering,Male,Software Engineer,4,4113.64,0,1,1,5,1,2025-07-11,,2026-09-01
100015,31,0,33,Customer Support,Male,Support Lead,1,6824.81,0,5,15,2,3,2011-04-11,,2026-09-01
100016,23,0,32,Finance,Female,Accountant,4,13827.91,0,2,18,7,0,2008-04-07,,2026-09-01
100017,43,1,7,Engineering,Male,Data Analyst,4,5176.99,1,4,9,16,1,2017-05-26,2025-12-21,2026-09-01
100018,52,0,35,HR,Male,HR Specialist,3,11403.3,1,1,8,23,3,2018-01-12,,2026-09-01
100019,60,0,35,Operations,Female,Operations Manager,1,10697.57,0,2,19,1,2,2006-12-22,,2026-09-01
100020,24,0,20,Operations,Male,Operations Analyst,3,10631.03,0,4,0,18,0,2025-11-29,,2026-09-01
100021,58,0,8,Customer Support,Female,Support Lead,3,8108.66,0,1,5,14,0,2020-09-02,,2026-09-01
100022,37,1,30,Finance,Female,Finance Manager,5,6359.03,1,4,11,8,4,2015-01-25,2025-11-03,2026-09-01
100023,41,0,3,Finance,Male,Financial Analyst,2,9491.85,1,2,0,2,0,2025-12-20,,2026-09-01
100024,42,1,27,Sales,Female,Sales Representative,2,13114.32,1,1,1,8,0,2025-04-28,2026-07-24,2026-09-01
100025,46,0,25,Sales,Male,Sales Representative,5,4122.01,0,4,2,12,0,2023-11-01,,2026-09-01
100026,43,0,34,Customer Support,Female,Customer Success Manager,2,8154.76,0,3,14,24,9,2012-06-02,,2026-09-01
100027,42,0,6,Customer Support,Male,Support Lead,3,4635.78,0,5,16,11,11,2010-03-06,,2026-09-01
100028,52,0,35,Customer Support,Female,Support Specialist,4,4700.02,1,2,19,18,16,2006-09-17,,2026-09-01
100029,46,0,23,Operations,Male,Operations Manager,1,10980.05,0,2,4,0,1,2022-05-08,,2026-09-01
100030,65,0,39,Engineering,Female,QA Engineer,5,10112.44,0,4,20,15,18,2005-12-04,,2026-09-01
100031,48,0,30,HR,Female,Recruiter,4,5181.23,0,2,4,15,4,2022-07-17,,2026-09-01
100032,57,0,5,Customer Support,Male,Support Lead,4,3711.94,0,2,9,18,9,2016-12-30,,2026-09-01
100033,24,0,16,HR,Female,HR Specialist,2,3499.58,0,3,15,19,7,2010-11-26,,2026-09-01
100034,53,0,12,Operations,Male,Operations Analyst,3,12470.82,0,3,18,11,12,2008-05-24,,2026-09-01
100035,55,0,8,Sales,Male,Account Executive,5,12747.09,0,2,16,18,8,2010-06-04,,2026-09-01
100036,65,1,21,HR,Male,Recruiter,5,6386.99,0,1,10,23,2,2016-01-29,2026-07-27,2026-09-01
100037,52,0,13,Engineering,Female,BI Developer,1,5892.07,0,1,4,19,0,2021-12-08,,2026-09-01
100038,56,0,19,Finance,Female,Financial Analyst,4,7210.43,1,4,11,18,9,2015-01-12,,2026-09-01
100039,32,0,23,HR,Female,HR Manager,1,4482.15,1,2,19,6,13,2007-07-11,,2026-09-01
100040,49,0,18,Finance,Male,Finance Manager,4,10974.74,1,1,10,5,6,2015-10-07,,2026-09-01
100041,47,0,29,Sales,Female,Account Executive,5,5835.48,0,5,1,0,1,2025-08-28,,2026-09-01
100042,24,0,31,Engineering,Male,Software Engineer,3,11981.76,0,3,3,9,1,2023-06-24,,2026-09-01
100043,33,0,20,Finance,Female,Financial Analyst,4,11869.3,1,1,17,2,12,2009-01-25,,2026-09-01
100044,45,1,6,Operations,Female,Operations Analyst,2,3337.35,1,5,0,14,0,2026-05-08,2026-01-31,2026-09-01
100045,56,0,20,Operations,Male,Operations Analyst,1,9111.01,0,1,2,20,1,2024-04-08,,2026-09-01
100046,32,0,16,Engineering,Male,BI Developer,4,4406.34,0,2,9,3,9,2017-01-21,,2026-09-01
100047,61,0,27,Sales,Female,Account Executive,1,6361.33,0,5,3,15,0,2023-02-22,,2026-09-01
100048,38,0,5,HR,Female,Recruiter,1,7926.15,1,2,18,12,4,2007-12-21,,2026-09-01
100049,38,0,11,Customer Support,Female,Support Specialist,5,11670.23,0,3,14,16,12,2012-03-09,,2026-09-01
100050,21,0,6,Finance,Male,Finance Manager,4,12385.78,1,3,20,20,4,2005-10-26,,2026-09-01
100051,37,0,9,Sales,Male,Sales Representative,1,13980.78,0,1,20,16,7,2006-06-16,,2026-09-01
100052,54,0,12,Sales,Female,Sales Manager,1,9436.55,0,3,2,24,0,2023-11-01,,2026-09-01
100053,34,0,39,HR,Male,HR Specialist,4,14279.23,0,2,1,14,0,2025-06-19,,2026-09-01
100054,58,1,30,Operations,Female,Operations Analyst,2,12944.71,1,4,0,9,0,2025-10-02,2025-10-06,2026-09-01
100055,54,0,2,Operations,Male,Operations Analyst,5,5563.18,0,3,5,18,0,2021-07-11,,2026-09-01
100056,36,0,4,Finance,Female,Accountant,1,13333.71,0,5,7,17,4,2018-09-07,,2026-09-01
100057,38,0,22,HR,Male,HR Specialist,5,9400.48,0,4,9,13,1,2016-10-20,,2026-09-01
100058,29,0,22,HR,Female,HR Manager,3,13605.86,0,2,14,3,0,2012-05-04,,2026-09-01
100059,42,1,23,HR,Female,HR Manager,2,11646.42,0,3,13,6,2,2013-08-05,2026-01-06,2026-09-01
100060,38,0,15,Operations,Male,Operations Analyst,1,11532.68,0,1,5,16,5,2021-01-18,,2026-09-01
100061,33,0,4,Engineering,Male,Software Engineer,2,12117.63,0,4,19,14,1,2007-08-08,,2026-09-01
100062,39,0,6,Engineering,Female,QA Engineer,4,10498.86,0,3,9,12,5,2017-05-24,,2026-09-01
100063,41,0,4,HR,Male,Recruiter,3,4193.13,1,1,5,22,2,2021-06-24,,2026-09-01
100064,26,0,11,HR,Male,HR Manager,4,3259.89,1,3,1,24,1,2025-01-25,,2026-09-01
100065,65,0,6,Sales,Female,Sales Representative,2,6857.58,0,1,11,19,0,2015-04-22,,2026-09-01
100066,58,0,36,Sales,Male,Sales Manager,5,9218.26,0,2,4,23,1,2022-04-16,,2026-09-01
100067,33,0,20,Operations,Female,Operations Manager,1,4768.72,0,1,7,10,6,2019-04-25,,2026-09-01
100068,51,1,14,Finance,Male,Accountant,5,11458.8,1,4,16,2,2,2010-06-25,2025-10-16,2026-09-01
100069,28,0,37,Operations,Male,Operations Analyst,4,5049.31,0,5,10,18,10,2015-09-07,,2026-09-01
100070,65,0,18,Operations,Female,Operations Analyst,3,10252.35,0,1,9,24,0,2017-06-05,,2026-09-01
