Date,Region,Category,Product,Units,Price,DiscountPct,Revenue
2024-01-01,North,Electronics,Phone,33,108.05,0.15,3030.8
2024-01-01,North,Furniture,Desk,25,94.89,0.1,2135.02
2024-01-01,North,Office Supplies,Stapler,15,240.44,0.0,3606.6
2024-01-01,South,Electronics,Phone,26,47.08,0.15,1040.47
2024-01-01,South,Furniture,Chair,42,20.37,0.15,727.21
2024-01-01,South,Office Supplies,Paper,37,166.04,0.05,5836.31
2024-01-01,East,Electronics,Laptop,48,31.07,0.1,1342.22
2024-01-01,East,Furniture,Shelf,46,42.4,0.15,1657.84
2024-01-01,East,Office Supplies,Stapler,48,266.83,0.15,10886.66
2024-01-01,West,Electronics,Laptop,7,432.77,0.1,2726.45
2024-01-01,West,Furniture,Desk,13,51.22,0.15,565.98
2024-01-01,West,Office Supplies,Paper,18,408.03,0.0,7344.54
2024-01-02,North,Electronics,Tablet,6,348.43,0.1,1881.52
2024-01-02,North,Furniture,Shelf,48,257.68,0.1,11131.78
2024-01-02,North,Office Supplies,Stapler,18,207.71,0.05,3551.84
2024-01-02,South,Electronics,Tablet,10,119.81,0.15,1018.38
2024-01-02,South,Furniture,Chair,33,485.4,0.05,15217.29
2024-01-02,South,Office Supplies,Printer Ink,14,449.52,0.05,5978.62
2024-01-02,East,Electronics,Phone,19,62.48,0.1,1068.41
2024-01-02,East,Furniture,Desk,44,425.38,0.0,18716.72
2024-01-02,East,Office Supplies,Printer Ink,28,191.24,0.15,4551.51
2024-01-02,West,Electronics,Laptop,45,162.21,0.0,7299.45
2024-01-02,West,Furniture,Desk,29,493.71,0.15,12169.95
2024-01-02,West,Office Supplies,Paper,48,160.87,0.1,6949.58
2024-01-03,North,Electronics,Phone,21,361.44,0.1,6831.22
2024-01-03,North,Furniture,Desk,9,464.62,0.05,3972.5
2024-01-03,North,Office Supplies,Paper,32,434.29,0.15,11812.69
2024-01-03,South,Electronics,Tablet,37,50.51,0.1,1681.98
2024-01-03,South,Furniture,Chair,28,339.64,0.15,8083.43
2024-01-03,South,Office Supplies,Printer Ink,31,289.4,0.1,8074.26
2024-01-03,East,Electronics,Laptop,18,427.48,0.0,7694.64
2024-01-03,East,Furniture,Chair,18,257.02,0.0,4626.36
2024-01-03,East,Office Supplies,Stapler,19,73.23,0.15,1182.66
2024-01-03,West,Electronics,Laptop,36,325.48,0.15,9959.69
2024-01-03,West,Furniture,Desk,36,353.85,0.0,12738.6
2024-01-03,West,Office Supplies,Stapler,43,216.98,0.1,8397.13
2024-01-04,North,Electronics,Laptop,40,472.57,0.1,17012.52
2024-01-04,North,Furniture,Shelf,26,442.62,0.05,10932.71
2024-01-04,North,Office Supplies,Paper,10,239.14,0.15,2032.69
2024-01-04,South,Electronics,Tablet,15,175.69,0.1,2371.82
2024-01-04,South,Furniture,Desk,43,455.28,0.0,19577.04
2024-01-04,South,Office Supplies,Paper,31,225.01,0.15,5929.01
2024-01-04,East,Electronics,Laptop,45,166.3,0.05,7109.33
2024-01-04,East,Furniture,Shelf,13,252.72,0.0,3285.36
2024-01-04,East,Office Supplies,Stapler,46,182.06,0.1,7537.28
2024-01-04,West,Electronics,Phone,36,269.02,0.0,9684.72
2024-01-04,West,Furniture,Desk,16,140.86,0.05,2141.07
2024-01-04,West,Office Supplies,Stapler,41,156.72,0.0,6425.52
2024-01-05,North,Electronics,Phone,6,261.29,0.05,1489.35
2024-01-05,North,Furniture,Shelf,41,185.63,0.0,7610.83
2024-01-05,North,Office Supplies,Stapler,6,274.85,0.05,1566.64
2024-01-05,South,Electronics,Tablet,36,304.49,0.1,9865.48
2024-01-05,South,Furniture,Shelf,21,369.54,0.15,6596.29
2024-01-05,South,Office Supplies,Paper,38,324.09,0.1,11083.88
2024-01-05,East,Electronics,Phone,20,420.95,0.15,7156.15
2024-01-05,East,Furniture,Shelf,10,353.99,0.1,3185.91
2024-01-05,East,Office Supplies,Stapler,40,27.96,0.1,1006.56
2024-01-05,West,Electronics,Phone,23,187.36,0.1,3878.35
2024-01-05,West,Furniture,Desk,37,210.83,0.1,7020.64
2024-01-05,West,Office Supplies,Printer Ink,44,86.01,0.15,3216.77
2024-01-06,North,Electronics,Laptop,29,120.35,0.1,3141.14
2024-01-06,North,Furniture,Chair,46,143.81,0.15,5622.97
2024-01-06,North,Office Supplies,Printer Ink,6,498.2,0.05,2839.74
2024-01-06,South,Electronics,Laptop,41,443.67,0.1,16371.42
2024-01-06,South,Furniture,Desk,45,187.62,0.15,7176.46
2024-01-06,South,Office Supplies,Stapler,24,445.8,0.15,9094.32
2024-01-06,East,Electronics,Laptop,28,428.45,0.0,11996.6
2024-01-06,East,Furniture,Chair,44,311.09,0.1,12319.16
2024-01-06,East,Office Supplies,Printer Ink,29,338.48,0.0,9815.92
2024-01-06,West,Electronics,Tablet,22,253.09,0.1,5011.18
2024-01-06,West,Furniture,Desk,45,104.44,0.15,3994.83
2024-01-06,West,Office Supplies,Paper,18,176.19,0.15,2695.71
2024-01-07,North,Electronics,Phone,7,335.65,0.0,2349.55
2024-01-07,North,Furniture,Shelf,26,147.3,0.05,3638.31
2024-01-07,North,Office Supplies,Printer Ink,42,489.87,0.1,18517.09
2024-01-07,South,Electronics,Tablet,12,322.95,0.05,3681.63
2024-01-07,South,Furniture,Desk,34,329.65,0.1,10087.29
2024-01-07,South,Office Supplies,Paper,9,130.49,0.15,998.25
2024-01-07,East,Electronics,Phone,8,31.67,0.0,253.36
2024-01-07,East,Furniture,Desk,48,471.42,0.0,22628.16
2024-01-07,East,Office Supplies,Printer Ink,10,197.68,0.0,1976.8
2024-01-07,West,Electronics,Laptop,28,178.76,0.05,4755.02
2024-01-07,West,Furniture,Desk,35,482.54,0.0,16888.9
2024-01-07,West,Office Supplies,Stapler,25,111.64,0.0,2791.0
2024-01-08,North,Electronics,Phone,22,287.26,0.1,5687.75
2024-01-08,North,Furniture,Chair,7,293.63,0.15,1747.1
2024-01-08,North,Office Supplies,Printer Ink,36,342.15,0.1,11085.66
2024-01-08,South,Electronics,Tablet,31,161.74,0.05,4763.24
2024-01-08,South,Furniture,Desk,44,354.57,0.1,14040.97
2024-01-08,South,Office Supplies,Printer Ink,43,160.92,0.1,6227.6
2024-01-08,East,Electronics,Tablet,39,142.98,0.15,4739.79
2024-01-08,East,Furniture,Desk,11,260.73,0.0,2868.03
2024-01-08,East,Office Supplies,Paper,12,356.94,0.15,3640.79
2024-01-08,West,Electronics,Tablet,16,445.58,0.1,6416.35
2024-01-08,West,Furniture,Chair,6,230.47,0.1,1244.54
2024-01-08,West,Office Supplies,Printer Ink,29,94.42,0.05,2601.27
2024-01-09,North,Electronics,Laptop,26,303.6,0.05,7498.92
2024-01-09,North,Furniture,Desk,46,414.85,0.05,18128.94
2024-01-09,North,Office Supplies,Stapler,41,270.68,0.0,11097.88
2024-01-09,South,Electronics,Laptop,43,60.97,0.0,2621.71
2024-01-09,South,Furniture,Chair,39,325.97,0.15,10805.91
2024-01-09,South,Office Supplies,Paper,46,175.02,0.0,8050.92
2024-01-09,East,Electronics,Phone,23,230.71,0.1,4775.7
2024-01-09,East,Furniture,Chair,41,108.48,0.05,4225.3
2024-01-09,East,Office Supplies,Stapler,13,350.48,0.0,4556.24
2024-01-09,West,Electronics,Tablet,5,232.33,0.15,987.4
2024-01-09,West,Furniture,Chair,29,336.89,0.0,9769.81
2024-01-09,West,Office Supplies,Paper,20,268.01,0.15,4556.17
2024-01-10,North,Electronics,Phone,9,313.63,0.1,2540.4
2024-01-10,North,Furniture,Shelf,16,291.7,0.1,4200.48
2024-01-10,North,Office Supplies,Paper,26,26.91,0.05,664.68
2024-01-10,South,Electronics,Laptop,34,430.62,0.15,12444.92
2024-01-10,South,Furniture,Desk,16,28.24,0.05,429.25
2024-01-10,South,Office Supplies,Paper,43,186.23,0.05,7607.5
2024-01-10,East,Electronics,Tablet,41,211.28,0.05,8229.36
2024-01-10,East,Furniture,Chair,9,445.61,0.15,3408.92
2024-01-10,East,Office Supplies,Stapler,14,320.41,0.05,4261.45
2024-01-10,West,Electronics,Laptop,9,348.3,0.15,2664.5
2024-01-10,West,Furniture,Shelf,6,32.73,0.15,166.92
2024-01-10,West,Office Supplies,Stapler,24,296.23,0.05,6754.04
2024-01-11,North,Electronics,Phone,37,239.96,0.1,7990.67
2024-01-11,North,Furniture,Shelf,41,320.45,0.0,13138.45
2024-01-11,North,Office Supplies,Paper,44,454.57,0.15,17000.92
2024-01-11,South,Electronics,Laptop,17,123.0,0.05,1986.45
2024-01-11,South,Furniture,Chair,39,181.55,0.05,6726.43
2024-01-11,South,Office Supplies,Paper,30,347.17,0.05,9894.34
2024-01-11,East,Electronics,Tablet,45,258.1,0.05,11033.78
2024-01-11,East,Furniture,Desk,49,469.59,0.15,19558.42
2024-01-11,East,Office Supplies,Paper,25,484.44,0.15,10294.35
2024-01-11,West,Electronics,Tablet,41,380.3,0.15,13253.46
2024-01-11,West,Furniture,Shelf,39,218.06,0.05,8079.12
2024-01-11,West,Office Supplies,Paper,43,298.66,0.1,11558.14
2024-01-12,North,Electronics,Tablet,36,432.04,0.0,15553.44
2024-01-12,North,Furniture,Shelf,17,375.16,0.1,5739.95
2024-01-12,North,Office Supplies,Paper,34,453.23,0.05,14639.33
2024-01-12,South,Electronics,Laptop,26,162.86,0.1,3810.92
2024-01-12,South,Furniture,Desk,40,25.2,0.0,1008.0
2024-01-12,South,Office Supplies,Stapler,16,190.35,0.15,2588.76
2024-01-12,East,Electronics,Tablet,35,476.29,0.1,15003.14
2024-01-12,East,Furniture,Chair,20,235.25,0.1,4234.5
2024-01-12,East,Office Supplies,Paper,25,381.14,0.1,8575.65
2024-01-12,West,Electronics,Laptop,43,63.78,0.05,2605.41
2024-01-12,West,Furniture,Chair,43,498.05,0.05,20345.34
2024-01-12,West,Office Supplies,Paper,39,446.1,0.1,15658.11
2024-01-13,North,Electronics,Phone,22,484.95,0.0,10668.9
2024-01-13,North,Furniture,Chair,48,436.1,0.05,19886.16
2024-01-13,North,Office Supplies,Stapler,17,126.84,0.0,2156.28
2024-01-13,South,Electronics,Tablet,31,359.0,0.0,11129.0
2024-01-13,South,Furniture,Desk,41,131.95,0.15,4598.46
2024-01-13,South,Office Supplies,Paper,5,442.57,0.0,2212.85
2024-01-13,East,Electronics,Phone,11,493.28,0.15,4612.17
2024-01-13,East,Furniture,Chair,35,251.2,0.15,7473.2
2024-01-13,East,Office Supplies,Printer Ink,43,223.63,0.05,9135.29
2024-01-13,West,Electronics,Phone,43,228.54,0.0,9827.22
2024-01-13,West,Furniture,Desk,32,294.31,0.15,8005.23
2024-01-13,West,Office Supplies,Paper,45,377.22,0.1,15277.41
2024-01-14,North,Electronics,Laptop,32,481.84,0.1,13876.99
2024-01-14,North,Furniture,Desk,29,436.93,0.05,12037.42
2024-01-14,North,Office Supplies,Paper,10,405.01,0.0,4050.1
2024-01-14,South,Electronics,Laptop,25,40.83,0.0,1020.75
